索引,时间戳,交换机,平均包数,平均字节数,端口变化率,流表一致性检测,packet_in速率,传输容量,传输效率
11,1674913763.2,2,0.128991115581,12.3133461603,4.00000001075,0,1.43290959803e-08,15952.0,1.0
11,1674913763.2,3,0.130747226437,12.5082184908,2.00000000597,0,9.55273065354e-09,9577.33333333,1.0
11,1674913763.2,4,0.132471364368,12.677184008,2.00000000597,0,9.55273065354e-09,9707.33333333,1.00484228002
11,1674913763.2,5,0.123432647335,11.6986677571,6.00000001314,0,1.73143243095e-08,17716.6666667,1.00264450321
11,1674913763.2,6,0.1163793659,10.9190613582,6.00000001075,0,1.49261416462e-08,12874.6666667,1.0
11,1674913763.2,7,0.124425337356,11.6911782109,6.00000001194,0,1.37320503145e-08,16371.3333333,1.00286275151
12,1674913768.2,1,0.125969394822,12.0735624211,4.00000000597,1,8.95568496096e-09,9733.33333333,1.0
12,1674913768.2,2,0.122661749256,11.708676726,8.00000001075,0,1.43290959375e-08,15952.0,1.0
12,1674913768.2,3,0.124330050559,11.8938590644,4.00000000597,0,9.55273062502e-09,9577.33333333,1.0
12,1674913768.2,4,0.125969394822,12.0545148021,4.00000000597,0,9.55273062502e-09,9684.0,1.0
12,1674913768.2,5,0.117379933326,11.1244411781,12.0000000131,0,1.73143242578e-08,17693.3333333,1.0
12,1674913768.2,6,0.110677477708,10.3834244636,12.0000000107,0,1.49261416016e-08,12944.6666667,1.00362468931
12,1674913768.2,7,0.118332082266,11.1179677835,12.0000000119,0,1.37320502735e-08,16418.0,1.00285457956
13,1674913773.21,1,0.114709163379,10.9936622242,4.00000000597,1,8.9556849342e-09,9876.0,1.0
13,1674913773.21,2,0.11170000989,10.6615714258,8.00000001075,0,1.43290958947e-08,16259.3333333,1.0
13,1674913773.21,3,0.113216626065,10.8300022631,4.00000000597,0,9.55273059648e-09,9790.0,1.00480109739
13,1674913773.21,4,0.114709163379,10.9762709198,4.00000000597,0,9.55273059648e-09,9873.33333333,1.0
13,1674913773.21,5,0.106896393753,10.1299923763,12.0000000131,0,1.73143242061e-08,18000.6666667,1.0
13,1674913773.21,6,0.100800401651,9.45572865892,12.0000000107,0,1.4926141557e-08,13110.6666667,1.0
13,1674913773.21,7,0.107776385713,10.1251244281,12.0000000119,0,1.37320502324e-08,16655.3333333,1.0
14,1674913778.21,1,0.105296903653,10.091086858,2.00000000597,1,1.01497762285e-08,9932.0,1.0
14,1674913778.21,2,0.102536838914,9.78638260249,4.00000001075,0,1.55231871729e-08,16343.3333333,1.0
14,1674913778.21,3,0.103927040639,9.94084028265,2.00000000597,0,1.01497762285e-08,9841.33333333,1.0
14,1674913778.21,4,0.105296903653,10.075086858,2.00000000597,0,1.01497762285e-08,9901.33333333,1.0
14,1674913778.21,5,0.0981320504359,9.29875471544,6.00000001314,0,1.85084154754e-08,18084.6666667,1.0
14,1674913778.21,6,0.092541912481,8.68021314536,6.00000001075,0,1.55231871729e-08,13138.6666667,1.0
14,1674913778.21,7,0.0989498216895,9.29507767557,6.00000001194,0,1.43290958519e-08,16711.3333333,1.0
15,1674913783.21,1,0.101147198516,9.69318498529,4.00000000597,1,1.01497761982e-08,9932.0,1.0
15,1674913783.21,2,0.0984968316839,9.400547364,8.00000001075,0,1.55231871266e-08,16343.3333333,1.0
15,1674913783.21,3,0.0998314090418,9.54885300148,4.00000000597,0,1.01497761982e-08,9841.33333333,1.0
15,1674913783.21,4,0.101147198516,9.67780036991,4.00000000597,0,1.01497761982e-08,9901.33333333,1.0
15,1674913783.21,5,0.0942676199853,8.93227829352,12.0000000131,0,1.85084154202e-08,18084.6666667,1.0
15,1674913783.21,6,0.0889001905083,8.338281657,12.0000000107,0,1.55231871266e-08,13138.6666667,1.0
15,1674913783.21,7,0.0950574049258,8.92908237119,12.0000000119,0,1.43290958092e-08,16711.3333333,1.0
16,1674913788.25,1,0.0937573590012,8.98464005354,1328.00000001,1,8.95568485398e-08,9932.0,1.0
16,1674913788.25,2,0.0913021590528,8.71347921416,648.000000011,0,2.74641002189e-08,16343.3333333,1.0
16,1674913788.25,3,0.092537846806,8.85084214413,4.00000000597,0,1.01497761678e-08,9841.33333333,1.0
16,1674913788.25,4,0.0937573590012,8.97035433926,4.00000000597,0,1.01497761678e-08,9901.33333333,1.0
16,1674913788.25,5,0.0873852212544,8.27965636475,2850.00000001,0,3.04493285035e-08,18084.6666667,1.0
16,1674913788.25,6,0.0824139154084,7.72933609892,12.0000000107,0,1.55231870802e-08,13138.6666667,1.0
16,1674913788.25,7,0.0881243240999,8.27725034036,12.0000000119,0,1.43290957664e-08,16711.3333333,1.0
17,1674913793.25,1,0.0861600700115,5.04052618224,4492.00000047,1,1.38454887426e-06,55190.0,4.03785743053
17,1674913793.25,2,302.124751559,17523.3252463,5070.0000004,0,1.40783365481e-06,53239.3333333,2.505037732
17,1674913793.25,3,0.0862374737374,8.24792939293,2.00000000597,0,1.01497761373e-08,9841.33333333,1.0
17,1674913793.25,4,0.0873738373737,8.35929302929,2.00000000597,0,1.01497761373e-08,9901.33333333,1.0
17,1674913793.25,5,0.00253132328089,0.173259033071,2799.00000137,0,1.43888002888e-06,134355.333333,2.59387566249
17,1674913793.25,6,0.0768098198653,7.20328288384,6.00000001075,0,1.55231870335e-08,13138.6666667,1.0
17,1674913793.25,7,0.0821338883838,7.71411621162,6.00000001194,0,1.43290957233e-08,16711.3333333,1.0
18,1674913798.25,1,0.0144888228963,0.848802278042,5864.00000171,1,1.75949354043e-06,128623.333333,1.26610294864
18,1674913798.25,2,0.00166100684908,0.113303734394,5868.00000171,0,1.76486695131e-06,134618.0,1.23826137227
18,1674913798.25,3,0.083398422108,7.97626147304,4.00000000597,0,1.0149776107e-08,9841.33333333,1.0
18,1674913798.25,4,0.0844973232069,8.08395378073,4.00000000597,0,1.0149776107e-08,9901.33333333,1.0
18,1674913798.25,5,0.00248053992682,0.164474111778,5872.00000168,0,1.76785217958e-06,132180.0,1.19071526332
18,1674913798.25,6,0.0742841943558,6.9662255863,12.0000000107,0,1.55231869872e-08,13138.6666667,1.0
18,1674913798.25,7,0.0794340568534,7.46033917324,12.0000000119,0,1.43290956805e-08,16711.3333333,1.0
19,1674913804.2,1,0.00758511336708,0.449149712789,5864.00000176,1,1.75949353516e-06,119318.666667,1.0
19,1674913804.2,2,0.000938675567289,0.0712389805691,5868.00000176,0,1.76486694602e-06,125730.0,1.0
19,1674913804.2,3,0.0782464813392,7.48329698639,4.00000000597,0,1.01497760766e-08,9841.33333333,1.0
19,1674913804.2,4,0.0792774091742,7.58432791422,4.00000000597,0,1.01497760766e-08,9901.33333333,1.0
19,1674913804.2,5,0.00101967602133,0.0789318017231,5872.00000176,0,1.76785217428e-06,127471.333333,1.0
19,1674913804.2,6,0.06970049639,6.53603046272,12.0000000107,0,1.55231869407e-08,13138.6666667,1.0
19,1674913804.2,7,0.0745340497917,6.99978657504,12.0000000119,0,1.43290956375e-08,16711.3333333,1.0
20,1674913809.57,1,0.00524139148622,0.312997986612,2932.00000176,1,1.75949352893e-06,119318.666667,1.0
20,1674913809.57,2,0.000743695406915,0.059228781851,2934.00000176,0,1.76486693977e-06,125730.0,1.0
20,1674913809.57,3,0.0736940435969,7.04772085821,2.00000000597,0,1.01497760406e-08,9841.33333333,1.0
20,1674913809.57,4,0.0746649173833,7.14286648927,2.00000000597,0,1.01497760406e-08,9901.33333333,1.0
20,1674913809.57,5,0.000808649569713,0.0656917477964,2936.00000176,0,1.76785216802e-06,127471.333333,1.0
20,1674913809.57,6,0.0656496163507,6.15587923571,6.00000001075,0,1.55231868857e-08,13138.6666667,1.0
20,1674913809.57,7,0.0702034711743,6.59279246794,1.1940912989e-08,0,1.43290955868e-08,16711.3333333,1.0
21,1674913814.83,1,0.00455012813269,0.272730570208,5864.00000176,1,1.75949352329e-06,119318.666667,1.0
21,1674913814.83,2,0.000685025144457,0.0554397219295,5868.00000176,0,1.76486693412e-06,125730.0,1.0
21,1674913814.83,3,0.0716108617051,6.84841030266,4.00000000597,0,1.01497760081e-08,9841.33333333,1.0
21,1674913814.83,4,0.0725542579315,6.94086313284,4.00000000597,0,1.01497760081e-08,9901.33333333,1.0
21,1674913814.83,5,0.000746099599121,0.0615683733239,5872.00000176,0,1.76785216235e-06,127471.333333,1.0
21,1674913814.83,6,0.0637957695085,5.98191829455,12.0000000107,0,1.55231868359e-08,13138.6666667,1.0
21,1674913814.83,7,0.0702034711743,6.59279246794,1.19409129507e-08,0,2.13443818994e-06,16711.3333333,1.0
22,1674913820.12,1,0.00361081079117,0.217874226067,5864.00000176,1,1.75949351776e-06,119318.666667,1.0
22,1674913820.12,2,0.000603325126061,0.0499428107583,5868.00000176,0,1.76486692857e-06,125776.666667,1.0
22,1674913820.12,3,0.0677789220551,6.48179834561,4.00000000597,0,1.01497759762e-08,9841.33333333,1.0
22,1674913820.12,4,0.068671779198,6.56929834561,4.00000000597,0,1.01497759762e-08,9901.33333333,1.0
22,1674913820.12,5,0.000661790103077,0.055741312421,5872.00000176,0,1.7678521568e-06,127471.333333,1.0
22,1674913820.12,6,0.0603853939014,5.66191526023,12.0000000107,0,1.55231867872e-08,13138.6666667,1.0
22,1674913820.12,7,0.0702034711743,6.59279246794,1.19409129132e-08,0,4.82233768e-06,16711.3333333,1.0
23,1674913825.57,1,0.00300097825089,0.182130307447,2932.00000176,1,1.7594935122e-06,119388.666667,1.00039110952
23,1674913825.57,2,0.000546039261885,0.0459080971259,2934.00000176,0,1.76486692299e-06,125776.666667,1.0
23,1674913825.57,3,0.0643362581921,6.15244360282,2.00000000597,0,1.01497759441e-08,9841.33333333,1.0
23,1674913825.57,4,0.0651837158192,6.23549445028,2.00000000597,0,1.01497759441e-08,9901.33333333,1.0
23,1674913825.57,5,0.000601171289804,0.0513704334927,2936.00000176,0,1.76785215121e-06,127518.0,1.0
23,1674913825.57,6,0.0573211478343,5.37441154331,6.00000001075,0,1.55231867381e-08,13138.6666667,1.0
23,1674913825.57,7,0.0702034711743,6.59279246794,1.19409128755e-08,0,5.39012807198e-06,16711.3333333,1.0
24,1674913830.92,1,0.00276947287118,0.168522795574,5864.00000176,1,1.75949350647e-06,119435.333333,1.00039095661
24,1674913830.92,2,0.000522874902277,0.0442287201102,5868.00000176,0,1.76486691725e-06,125776.666667,1.0
24,1674913830.92,3,0.0627428266008,6.00000681908,4.00000000597,0,1.01497759111e-08,9841.33333333,1.0
24,1674913830.92,4,0.0635692728818,6.08099855461,4.00000000597,0,1.01497759111e-08,9901.33333333,1.0
24,1674913830.92,5,0.000577866368207,0.0496165194396,5872.00000176,0,1.76785214546e-06,127518.0,1.0
24,1674913830.92,6,0.055902763343,5.24133804745,12.0000000107,0,1.55231866876e-08,13138.6666667,1.0
24,1674913830.92,7,0.0702034711743,6.59279246794,1.19409128366e-08,0,5.97642687472e-06,16711.3333333,1.0
25,1674913836.23,1,0.00240037758644,0.146720719255,5864.00000176,1,1.75949350086e-06,119626.0,1.00119474313
25,1674913836.23,2,0.000481769614967,0.0411463726352,5868.00000176,0,1.76486691162e-06,126097.666667,1.00170142846
25,1674913836.23,3,0.0595601241104,5.6950219977,4.00000000597,0,1.01497758787e-08,10055.3333333,1.01449668067
25,1674913836.23,4,0.0604028898584,5.77761304101,4.00000000597,0,1.01497758787e-08,10162.0,1.01434124112
25,1674913836.23,5,0.000534759317208,0.0463167268865,5872.00000176,0,1.76785213982e-06,127909.0,1.00204415586
25,1674913836.23,6,0.0531743794228,4.98498560333,12.0000000107,0,1.55231866381e-08,13399.3333333,1.01082010314
25,1674913836.23,7,0.0702034711743,6.59279246794,1.19409127985e-08,0,6.21405102035e-06,16711.3333333,1.0
26,1674913841.28,1,0.00212182424399,0.130248989037,5864.00000176,1,1.75949349528e-06,119554.666667,1.0
26,1674913841.28,2,0.000450019014131,0.0387297043118,5659.00000176,0,1.76486690602e-06,126084.0,1.0
26,1674913841.28,3,0.056935764202,5.44413963624,4.00000000597,0,1.01497758465e-08,10030.6666667,1.0
26,1674913841.28,4,0.057738143284,5.52277278628,4.00000000597,0,1.01497758465e-08,10160.6666667,1.00462473573
26,1674913841.28,5,0.000501212056767,0.0436916645613,5661.00000176,0,1.76785213421e-06,127825.333333,1.0
26,1674913841.28,6,0.0507838004346,4.76075767099,12.0000000107,0,1.55231865888e-08,13374.6666667,1.0
26,1674913841.28,7,0.0702034711743,6.59279246794,1.19409127606e-08,0,6.89110075415e-06,16711.3333333,1.0
27,1674913846.47,1,0.00190294030323,0.117260644965,2932.00000176,1,1.75949348998e-06,119554.666667,1.0
27,1674913846.47,2,0.000429610831255,0.0372840296276,3143.00000176,0,1.7648669007e-06,126084.0,1.0
27,1674913846.47,3,0.0544403411202,5.20535649573,2.00000000597,0,1.01497758159e-08,10030.6666667,1.0
27,1674913846.47,4,0.0552060142959,5.28039246696,2.00000000597,0,1.01497758159e-08,10137.3333333,1.0
27,1674913846.47,5,0.000480258278864,0.04215914158,3147.00000176,0,1.76785212888e-06,127825.333333,1.0
27,1674913846.47,6,0.0485989272181,4.55583368652,6.00000001075,0,1.5523186542e-08,13374.6666667,1.0
27,1674913846.47,7,0.0702034711743,6.59279246794,1.19409127246e-08,0,7.27261289494e-06,16711.3333333,1.0
28,1674913851.75,1,0.0018101222079,0.11173868265,5864.00000176,1,1.75949348452e-06,119554.666667,1.0
28,1674913851.75,2,0.000410798030262,0.0356645263908,5868.00000176,0,1.76486689523e-06,126084.0,1.0
28,1674913851.75,3,0.0532507128457,5.09147682554,4.00000000597,0,1.01497757845e-08,10030.6666667,1.0
28,1674913851.75,4,0.0539549381978,5.16049091005,4.00000000597,0,1.01497757845e-08,10137.3333333,1.0
28,1674913851.75,5,0.000459631012862,0.0403589919591,5872.00000176,0,1.7678521234e-06,127825.333333,1.0
28,1674913851.75,6,0.0475508843564,4.45743498174,12.0000000107,0,1.55231864939e-08,13374.6666667,1.0
28,1674913851.75,7,0.0702034711743,6.59279246794,1.19409126876e-08,0,7.96876808209e-06,16711.3333333,1.0
29,1674913856.76,1,0.00164999934968,0.102189533698,5864.00000176,1,1.75949347897e-06,119554.666667,1.0
29,1674913856.76,2,0.000389463534778,0.0339694553337,5868.00000176,0,1.76486688967e-06,126084.0,1.0
29,1674913856.76,3,0.0511431558075,4.89001956913,4.00000000597,0,1.01497757525e-08,10077.3333333,1.0
29,1674913856.76,4,0.0518596441079,4.96023542257,4.00000000597,0,1.01497757525e-08,10137.3333333,1.0
29,1674913856.76,5,0.000436467214619,0.0384717757842,5872.00000176,0,1.76785211783e-06,127825.333333,1.0
29,1674913856.76,6,0.0456527552351,4.27952017971,12.0000000107,0,1.5523186445e-08,13374.6666667,1.0
29,1674913856.76,7,0.0702034711743,6.59279246794,1.194091265e-08,0,8.54551413796e-06,16711.3333333,1.0
30,1674913861.76,1,0.00151666862417,0.0942128952306,5864.00000176,1,1.7594934737e-06,119554.666667,1.0
30,1674913861.76,2,0.000370232246983,0.0324141903807,5868.00000176,0,1.76486688437e-06,126084.0,1.0
30,1674913861.76,3,0.0491206031528,4.69650171666,4.00000000597,0,1.0149775722e-08,10077.3333333,1.0
30,1674913861.76,4,0.0498076580334,4.76383309496,4.00000000597,0,1.0149775722e-08,10137.3333333,1.0
30,1674913861.76,5,0.000415641305095,0.0367510245668,5872.00000176,0,1.76785211253e-06,127825.333333,1.0
30,1674913861.76,6,0.0438793841123,4.11320844215,12.0000000107,0,1.55231863984e-08,13374.6666667,1.0
30,1674913861.76,7,0.0702034711743,6.59279246794,1.19409126142e-08,0,9.24644568277e-06,16711.3333333,1.0
31,1674913866.76,1,0.00140384774651,0.0874427294105,2932.00000176,1,1.75949346843e-06,119554.666667,1.0
31,1674913866.76,2,0.000353068572883,0.0310109958511,2934.00000176,0,1.76486687909e-06,126084.0,1.0
31,1674913866.76,3,0.0472868303121,4.52113670762,2.00000000597,0,1.01497756916e-08,10077.3333333,1.0
31,1674913866.76,4,0.0479467682003,4.58581062067,2.00000000597,0,1.01497756916e-08,10137.3333333,1.0
31,1674913866.76,5,0.000397085976183,0.0352048955973,2936.00000176,0,1.76785210723e-06,127825.333333,1.0
